slot_id,factor,offset,min,max,unit,description,vss_unit,vss_a,vss_b
202,1.0,0.0,,,,Diagnostic (nan),,1.0,0.0
203,10.0,0.0,0.0,10000.0,ccps,SLOT for ccps unit,ccps,1.0,0.0
205,0.1,0.0,0.0,102.0,%,SAEpc02 (Percent; position/level),percent,1.0,0.0
206,5.12e-05,0.0,0.0,3.289856,s,SAEtm13 (Time),s,1.0,0.0
207,1.0,0.0,0.0,16777215.0,,SAEct06 (Count (no error; N/A)),,1.0,0.0
209,1.0,0.0,0.0,4294967295.0,,SAEct07 (Count (no error; N/A)),,1.0,0.0
211,1.0,0.0,0.0,64255.0,mAh,SAEca01 (Capacity; Battery),mah,1.0,0.0
212,1.0,0.0,0.0,255.0,,SAEatf0004 (ASCII; text (fixed length)),,1.0,0.0
215,1.0,0.0,0.0,31.0,,SAEfm00 (FMI),,1.0,0.0
218,2048.0,0.0,0.0,2047.0,,SAEbs11 (Bit Field),,1.0,0.0
220,1.0,0.0,0.0,15.0,,SAEct08 (Count (no error; N/A)),,1.0,0.0
