valtable_id,definition,description,vss_type,vss_labels
EGMAKER,0:NONE;1:DEVELON;2:SCANIA;3:CUMMINS;4:PERKINS;5:ISUZU;7:YANMAR;8:DAEDONG;9:KUBOTA;10:WEICHAI,Value table for EGMAKER,enum,DEVELON|SCANIA|CUMMINS|PERKINS|ISUZU|YANMAR|DAEDONG|KUBOTA|WEICHAI
ECUMAKER,0:NONE;1:BOSCH_DL06_DL08;2:SCANIA;3:CUMMINS;4:PERKINS_2506J;5:ISUZU;6:BOSCH_G2;7:HITACHI;8:PERKINS_1204J;9:WOODWARD;10:BOSCH_EDC7;11:WEIFU;12:PERKINS_2506J_UNIFIED;13:BOSCH_DX05_DX08;14:KUBOTA;15:ECU_MAKER_2,Value table for ECUMAKER,enum,BOSCH_DL06_DL08|SCANIA|CUMMINS|PERKINS_2506J|ISUZU|BOSCH_G2|HITACHI|PERKINS_1204J|WOODWARD|BOSCH_EDC7|WEIFU|PERKINS_2506J_UNIFIED|BOSCH_DX05_DX08|KUBOTA|ECU_MAKER_2
PMPTYPE,0:NEGACON;1:POSICON;2:OPEN_CENTER;3:VBO;4:LS,Value table for PMPTYPE,enum,NEGACON|POSICON|OPEN_CENTER|VBO|LS
MECHELEC,0:MECHANIC;1:ELECTRIC,Value table for MECHELEC,enum,MECHANIC|ELECTRIC
MCVCTRLTYPE,0:MECHANIC;1:VBO;2:FEH,Value table for MCVCTRLTYPE,enum,MECHANIC|VBO|FEH
TCUTYPE,0:HDT;1:HST;2:CVT;3:HDT_LEVEL1,Value table for TCUTYPE,enum,HDT|HST|CVT|HDT_LEVEL1
REGION,0:KOREA;1:CHINA;2:ADVANCED;3:EMERGING;4:US,Value table for REGION,enum,KOREA|CHINA|ADVANCED|EMERGING|US
BTN,0:PUSH;1:TOGGLE;2:PROPOTIONAL;3:NA,Value table for BTN,enum,PUSH|TOGGLE|PROPOTIONAL
GYR,0:GREEN;1:YELLOW;2:RED,Value table for GYR,enum,GREEN|YELLOW|RED
WGHST,0:READY;1:ESTIMATE;2:CONFIRM;3:COMPLETE;4:ESTIMATE_TRUCK_TIP_OFF;5:CONFIRM_TRUCK_TIP_OFF,Value table for WGHST,enum,READY|ESTIMATE|CONFIRM|COMPLETE|ESTIMATE_TRUCK_TIP_OFF|CONFIRM_TRUCK_TIP_OFF
WGHCNTST,0:OFF;1:CANCEL;2:RETURN;3:ND,Value table for WGHCNTST,enum,OFF|CANCEL|RETURN
STAGE,0:RESERVED;1:STAGE_0;2:STAGE_1;3:STAGE_2;4:STAGE_3;5:STAGE_4;6:STAGE_5;7:STAGE_6;8:STAGE_7;9:STAGE_8;10:STAGE_9;11:STAGE_10;12:STAGE_11;13:LAST_STAGE_CONFIRM;14:SUCCESS;15:ERR,Value table for STAGE,enum,STAGE_0|STAGE_1|STAGE_2|STAGE_3|STAGE_4|STAGE_5|STAGE_6|STAGE_7|STAGE_8|STAGE_9|STAGE_10|STAGE_11|LAST_STAGE_CONFIRM|SUCCESS
STEP,0:READY;1:STEP0;2:STEP1;3:STEP2;4:STEP3;5:STEP4;6:STEP5;7:STEP6;8:STEP7;9:STEP8;10:STEP9;11:STEP10;12:STEP11;13:STEP12;14:STEP13;15:STEP14,Value table for STEP,enum,READY|STEP0|STEP1|STEP2|STEP3|STEP4|STEP5|STEP6|STEP7|STEP8|STEP9|STEP10|STEP11|STEP12|STEP13|STEP14
GRADEOFFSETSW,0:NO_BUTTON_PRESSED;1:INCREMENT_BUTTON_PRESSED;2:DECREMENT_BUTTON_PRESSED;14:ERR;15:NA,Value table for GRADEOFFSETSW,enum,NO_BUTTON_PRESSED|INCREMENT_BUTTON_PRESSED|DECREMENT_BUTTON_PRESSED
BLADEAUTOMD,0:AUTO_ALLOWED;2:SUSPEND_AUTO;3:SERVICE_MODE;4:AUTO_NOT_ALLOWED;14:ERR;15:NA,Value table for BLADEAUTOMD,enum,AUTO_ALLOWED|SUSPEND_AUTO|SERVICE_MODE|AUTO_NOT_ALLOWED
TMSSTINFO01,0:SECURITY_CLEAR;1:SECURITY,Value table for TMSSTINFO01,enum,SECURITY_CLEAR|SECURITY
VWMD,0:TOP;1:REAR;2:RIGHT;3:TOPPLUSREAR;4:3D;5:BOOM;15:NA,Value table for VWMD,enum,TOP|REAR|RIGHT|TOPPLUSREAR|3D|BOOM
PRIMD,0:NORMAL_MODE;1:PRIORITY_MODE,Value table for PRIMD,enum,NORMAL_MODE|PRIORITY_MODE
FACTORYTYPE,0:FACTORY_1;1:FACTORY_2;2:FACTORY_3;3:FACTORY_4,Value table for FACTORYTYPE,enum,FACTORY_1|FACTORY_2|FACTORY_3|FACTORY_4
VHCTYPE1,0:WHEEL;1:CRAWLER,Value table for VHCTYPE1,enum,WHEEL|CRAWLER
VHCTYPE2,0:LC;1:LCR;2:LL;3:ND,Value table for VHCTYPE2,enum,LC|LCR|LL
ULTSRECOGNITIONDISTANCESET,0:ALL;1:UPPER_BODY,Value table for ULTSRECOGNITIONDISTANCESET,enum,ALL|UPPER_BODY
BOOMCAMOPT,0:BOOM_CAMERA_DISABLED;1:BOOM_CAMERA_ENABLED,Value table for BOOMCAMOPT,enum,BOOM_CAMERA_DISABLED|BOOM_CAMERA_ENABLED
ONOFFST,0:ON;1:OFF,Value table for ONOFFST,enum,ON|OFF
OPT,0:OPTION_DISABLED;1:OPTION_EABLED,Value table for OPT,enum,OPTION_DISABLED|OPTION_EABLED
DISENABLE,0:DISABLE;1:ENABLE,Value table for DISENABLE,enum,DISABLE|ENABLE
TOLERANCECORCMD,0:BEFORE_TOLERANCE_CORRECTION;1:TOLERANCE_CORRECTING;2:TOLERANCE_CORRECTION_COMPLETED;3:TOLERANCE_CORRECTION_FAIL,Value table for TOLERANCECORCMD,enum,BEFORE_TOLERANCE_CORRECTION|TOLERANCE_CORRECTING|TOLERANCE_CORRECTION_COMPLETED|TOLERANCE_CORRECTION_FAIL
TOLERANCECORMENUENTRYCMD,0:NO_TOLERANCE_CORRECTION_MENU;1:ENTER_TOLERANCE_CORRECTION,Value table for TOLERANCECORMENUENTRYCMD,enum,NO_TOLERANCE_CORRECTION_MENU|ENTER_TOLERANCE_CORRECTION
CAMPRMTCORCOMPLETEST,0:NOT_CORRECTED;1:CORRECTION_COMPLETED,Value table for CAMPRMTCORCOMPLETEST,enum,NOT_CORRECTED|CORRECTION_COMPLETED
PWRMDST,0:STANDARD_MODE;1:ECONOMY_MODE;2:POWER_PLUS_MODE;3:POWER_MODE,Value table for PWRMDST,enum,STANDARD_MODE|ECONOMY_MODE|POWER_PLUS_MODE|POWER_MODE
WRKMDST,0:DIG;1:LIFT;2:BREAKER;3:TRVMODECR,Value table for WRKMDST,enum,DIG|LIFT|BREAKER|TRVMODECR
LOCKST,0:UNLOCK;1:LOCK,Value table for LOCKST,enum,UNLOCK|LOCK
TRACTIONMDST,0:MAX;1:A_3;2:B_2;3:C_1;4:AUTO,Value table for TRACTIONMDST,enum,MAX|A_3|B_2|C_1|AUTO
KEYPADPRI,0:KEYPAD;1:VIRTUAL_KEPAD,Value table for KEYPADPRI,enum,KEYPAD|VIRTUAL_KEPAD
EVMDCMD,0:NORMAL_MODE;1:EV_MODE;2:NA;3:NA1,Value table for EVMDCMD,enum,NORMAL_MODE|EV_MODE|NA1
ATTTYPE,0:BREAKER;1:TWO_WAY,Value table for ATTTYPE,enum,BREAKER|TWO_WAY
ALARMST,0:ALARM_OFF;1:ALARM_1;2:ALARM_2;3:ALARM_3;4:ALARM_4;5:ALARM_5,Value table for ALARMST,enum,ALARM_OFF|ALARM_1|ALARM_2|ALARM_3|ALARM_4|ALARM_5
MGSOUNDGUDSTEP,0:ALARM_OFF;1:ALARM_1;2:ALARM_2;3:ALARM_3;4:ALARM_4;5:ALARM_5;6:ALARM_6;7:ALARM_7;8:ALARM_8;9:ALARM_9,Value table for MGSOUNDGUDSTEP,enum,ALARM_OFF|ALARM_1|ALARM_2|ALARM_3|ALARM_4|ALARM_5|ALARM_6|ALARM_7|ALARM_8|ALARM_9
OPTSETJOYPATTERNCHANGE,0:ISO_FOR_CTL_EXC;1:BHL_FOR_CTL_BACKHOE;2:MHI;3:KOBE;4:SCM;5:CTL_ISO;6:CTL_H,Value table for OPTSETJOYPATTERNCHANGE,enum,ISO_FOR_CTL_EXC|BHL_FOR_CTL_BACKHOE|MHI|KOBE|SCM|CTL_ISO|CTL_H
