NAME,DESC,VALUE
WRKMODE,NOT_DEFINED,0
WRKMODE,BREAKER,1
WRKMODE,TWO_WAY,2
WRKMODE,RESERVED,3
GPSST,UNKNOWN,0
GPSST,NO_FIX,1
GPSST,2D,2
GPSST,3D,3
SMKFOBREG,NORMAL,0
SMKFOBREG,SUCCESS,1
SMKFOBREG,FAIL1,2
SMKFOBREG,FAIL2,3
SMKFOBDET,DEFAULT,0
SMKFOBDET,DETECT_REQUEST,1
SMKFOBIDREQ,DEFAULT,0
SMKFOBIDREQ,REQUEST,1
CMDONOFF,NO_ACTION,0
CMDONOFF,ON,1
CMDONOFF,OFF,2
CMDONOFF,NOT_AVAILABLE,3
EGSTARTCMD,NONE,0
EGSTARTCMD,ENGINE_ON,1
EGSTARTCMD,ENGINE_OFF,2
EGSTARTCMD,KEY_ON,3
COLDSTART,OFF_PHASE_HEAT_OFF_AND_LAMP_OFF,0
COLDSTART,PRE_HEATING_PHASE,1
COLDSTART,STAND_BY_PHASE_WITH_HEATING,2
COLDSTART,STAND_BY_PHASE_WITHOUT_HEATING,3
COLDSTART,CRANK_PHASE,4
COLDSTART,CRANK_WITH_EXTRA_HEATING_PHASE,5
COLDSTART,POST_HEATING_PHASE,6
COLDSTART,INITIALIZATION_PHASE,7
COLDSTART,TEST_OF_GRID_HEATER_VOLTAGE,8
FUELBLOCK,FUEL_RELEASED,0
FUELBLOCK,FUEL_BLOCKED,1
LAMPST,OFF,0
LAMPST,ON,1
LAMPST,BLINKING,2
LAMPST,NOT_AVAILABLE,3
WRNHIGH,NORMAL,0
WRNHIGH,ABOVE_OPERATION_RANGE,1
WRNHIGH,RESERVED,2
WRNHIGH,NOT_AVAILABLE,3
LAMPBITST,OFF,0
LAMPBITST,ON,1
LAMPBITST,BLINKING,4
WRNLOW,NORMAL,0
WRNLOW,BELOW_OPERATION_RANGE,1
WRNLOW,RESERVED,2
WRNLOW,NOT_AVAILABLE,3
WRN,NORMAL,0
WRN,WARNING,1
WRN,RESERVED,2
WRN,NOT_AVAILABLE,3
EDCOPRST,NORMAL_OPERATION,0
EDCOPRST,AFTERRUN_DRIVE,1
EDCOPRST,DIAGNOSTIC_TEST,2
PTOST,OFF_DISABLED,0
PTOST,HOLD,1
PTOST,REMOTE_HOLD,2
PTOST,STANDBY,3
PTOST,REMOTE_STANDBY,4
PTOST,SET,5
PTOST,DECELERATE_COAST,6
PTOST,RESUME,7
PTOST,ACCELERATE,8
PTOST,ACCELERATOR_OVERRIDE,9
PTOST,PREPROGRAMMED_SET_SPEED_1,10
PTOST,PREPROGRAMMED_SET_SPEED_2,11
PTOST,PREPROGRAMMED_SET_SPEED_3,12
PTOST,PREPROGRAMMED_SET_SPEED_4,13
PTOST,PREPROGRAMMED_SET_SPEED_5,14
PTOST,PREPROGRAMMED_SET_SPEED_6,15
PTOST,PREPROGRAMMED_SET_SPEED_7,16
PTOST,PREPROGRAMMED_SET_SPEED_8,17
PTOST,PTO_SET_SPEED_MEMORY_1,18
PTOST,PTO_SET_SPEED_MEMORY_2,19
PTOST,NOT_AVAILABLE,31
DPFACTREGENST,NOT_ACTIVE,0
DPFACTREGENST,ACTIVE,1
DPFACTREGENST,REGENERATION_NEEDED,2
DPFACTREGENST,NOT_AVAILABLE,3
DPFACTREGENIHBSW,NOT_INHIBITED,0
DPFACTREGENIHBSW,INHIBITED,1
DPFACTREGENIHBSW,NOT_AVAILABLE,3
ATDEFPPT,UREA_CONCENTRATION_TOO_HIGH,0
ATDEFPPT,UREA_CONCENTRATION_TOO_LOW,1
ATDEFPPT,FLUID_IS_DIESEL,2
ATDEFPPT,DEF_IS_PROPER_MIXTURE,3
ATDEFPPT,NOT_ABLE_TO_DETERMINE,13
ATDEFPPT,ERROR,14
ATDEFPPT,NOT_AVAILABLE,15
ATSELCATALREDOPRINDACT,OFF,0
ATSELCATALREDOPRINDACT,ON,1
ATSELCATALREDOPRINDACT,BLINKING,4
ATSELCATALREDOPRINDACT,NOT_AVAILABLE,7
ATGASSSHTCONT,AUTOMATIC,0
ATGASSSHTCONT,PREHEAT_2,1
ATGASSSHTCONT,PREHEAT_1,2
ATGASSSHTCONT,HEATER_OFF,3
EGOVRCONTMD,OVERRIDE_DISABLED,0
EGOVRCONTMD,SPEED_CONTROL,1
EGOVRCONTMD,TORQUE_CONTROL,2
EGOVRCONTMD,SPEED_TORQUE_LIMIT_CONTROL,3
PRI,HIGHEST,0
PRI,HIGH,1
PRI,MEDIUM,2
PRI,LOW,3
TRACTIONCONT,OFF,0
TRACTIONCONT,LOW,1
TRACTIONCONT,MEDIUM,2
TRACTIONCONT,HIGH,3
TRACTIONCONT,AUTO,4
POWMD,ECO,0
POWMD,STD,1
POWMD,PWR,2
POWMD,NOT_AVAILABLE,3
MAXSPD,NEUTRAL,0
MAXSPD,SPEED_1,1
MAXSPD,SPEED_2,2
