VSS,Type,Desc,DataType,Unit,Min,Max,ValueTable,Allowed,Default,Comment,Hashed,Deprecated
Mch.Diag.FrcDrv.FrcRunCmdforFanSet1,sensor,Forced Running command for fan set #1,uint8,percent,-125.0,125.0,,,,UDS,,
Mch.Diag.FrcDrv.FrcRunCmdforFanSet2,sensor,Forced Running command for fan set #2,uint8,percent,-125.0,125.0,,,,UDS,,
Mch.Diag.FrcDrv.FrcRunCmdforFanSet3,sensor,Forced Running command for fan set #3,uint8,percent,-125.0,125.0,,,,UDS,,
Mch.Diag.FrcDrv.BoostFactorCmdforLwBat2,sensor,boost factor command for Lower Battery #2 Loop Cooling&Heating,uint8,0,0.0,15.0,,,,UDS,,
Mch.Diag.FrcDrv.BoostFactorCmdforTrvlMotInvt,sensor,"boost factor command for Travel Motor/Inverter, LDC 2 Loop Cooling",uint8,0,0.0,15.0,,,,UDS,,
Mch.Diag.FrcDrv.FanSet3RvsOprSt,sensor,Fan Set #3 Reverse Operate Status(#6~#7),uint8,0,0.0,1.0,,,,UDS,,
Mch.Diag.FrcDrv.FrcDrvOprTgFlowofBat2,sensor,Forced Driving Operating target flow of   Battery  #2 Loop Cooling&Heating,uint8,percent,-125.0,125.0,,,,UDS,,
Mch.Diag.FrcDrv.FrcDrvOprTgFlowofTrvlMotInvt,sensor,"Forced Driving Operating target flow of Travel Motor/Inverter, LDC 2 Loop Cooling",uint8,percent,-125.0,125.0,,,,UDS,,
Mch.Diag.EgRpm.WrkLiftMd,sensor,작업 리프트  모드 엔진 정격회전수,uint16,rpm,0.0,5000.0,,,,UDS,,
Mch.Diag.EgRpm.WrkEcnMd,sensor,작업 이코노미  모드 엔진 정격회전수,uint16,rpm,0.0,5000.0,,,,UDS,,
Mch.Diag.EgRpm.WrkPwrMd,sensor,작업 파워  모드 엔진 정격회전수,uint16,rpm,0.0,5000.0,,,,UDS,,
Mch.Diag.EgRpm.WrkPwrPlusMd,sensor,작업 파워+ 모드 엔진 정격회전수,uint16,rpm,0.0,5000.0,,,,UDS,,
Mch.Diag.EgRpm.WrkStdMd,sensor,작업 표준  모드 엔진 정격회전수,uint16,rpm,0.0,5000.0,,,,UDS,,
Mch.Diag.PmpTrq.MaxRtOptMd,sensor,옵션 모드 펌프 토크 최대 값 비율,uint16,0,0.0,1000.0,,,,UDS,,
Mch.Diag.PmpTrq.MaxRtEcoMd,sensor,ECO 모드 펌프 토크 최대 값 비율,uint16,0,0.0,1000.0,,,,UDS,,
Mch.Diag.PmpTrq.MaxRtLiftMd,sensor,리프트 모드 펌프 토크 최대 값 비율,uint16,0,0.0,1000.0,,,,UDS,,
Mch.Diag.PmpTrq.MaxRtPwrMd,sensor,파워 모드 펌프 토크 최대 값 비율,uint16,0,0.0,1000.0,,,,UDS,,
Mch.Diag.PmpTrq.MaxRtPwrPlusMd,sensor,파워 PLUS 모드 펌프 토크 최대 값 비율,uint16,0,0.0,1000.0,,,,UDS,,
Mch.Diag.PmpTrq.MaxRtStdMd,sensor,표준 모드 정격 펌프 토크 최대 값 비율,uint16,0,0.0,1000.0,,,,UDS,,
Mch.Diag.AutoIdle.EntryWaitTm,sensor,오토아이들 상태 진입 대기시간,uint16,sec,0.0,1000.0,,,,UDS,,
Mch.Diag.AutoIdle.RpmCmd,sensor,오토아이들 상태의 RPM 지령,uint16,rpm,0.0,5000.0,,,,UDS,,
Mch.Diag.OtDecel.EgRpm,sensor,원터치감속 엔진RPM,uint16,rpm,0.0,5000.0,,,,UDS,,
Mch.Diag.OtDecel.RlsDialRt,sensor,원터치감속 해제 다이얼 비율,uint16,percent,0.0,100.0,,,,UDS,,
Mch.Diag.AutoWarmup.Dur,sensor,자동웜업 지속 시간,uint16,minutes,0.0,1000.0,,,,UDS,,
Mch.Diag.AutoWarmup.RlsCoolTmp,sensor,자동웜업 해제 냉각수 온도,uint16,celsius,0.0,1000.0,,,,UDS,,
Mch.Diag.AutoWarmup.EntryCoolTmp,sensor,자동웜업 진입 냉각수 온도,uint16,celsius,0.0,1000.0,,,,UDS,,
Mch.Diag.AutoWarmup.RpmCmd,sensor,자동웜업 상태의 RPM 지령,uint16,rpm,0.0,5000.0,,,,UDS,,
Mch.Diag.WifCtrl.LmtEgRpm,sensor,WIF제한 엔진 RPM 값,uint16,rpm,0.0,5000.0,,,,UDS,,
Mch.Diag.WifCtrl.LmtWaitTm,sensor,WIF제한 대기시간,uint16,minutes,0.0,1000.0,,,,UDS,,
Mch.Diag.EgCtrlDialMtch.EngKnobLowrLim,sensor,엔진 다이얼 최소전압,uint16,mV,0.0,5000.0,,,,UDS,,
Mch.Diag.EgCtrlDialMtch.EngKnobUpprLim,sensor,엔진 다이얼 최대전압,uint16,mV,0.0,5000.0,,,,UDS,,
Mch.Diag.EgCtrlDialMtch.FrcRpm,sensor,엔진다이얼 고장시 강제RPM,uint16,rpm,0.0,5000.0,,,,UDS,,
Mch.Diag.EgCtrlDialMtch.RpmIcrSlpLm,sensor,운전자의 요구 엔진 회전수 상승 기울기 제한 값,uint16,rpm/sec,0.0,1000.0,,,,UDS,,
Mch.Diag.EgCtrlDialMtch.RpmDcrSlpLm,sensor,운전자의 요구 엔진 회전수 감소 기울기 제한 값,uint16,rpm/sec,-1000.0,0.0,,,,UDS,,
Mch.Diag.EgCtrlDialMtch.EgHhIdleRpm,sensor,엔진 High 아이들 RPM,uint16,rpm,0.0,5000.0,,,,UDS,,
Mch.Diag.EgCtrlDialMtch.EgLwIdleRpm,sensor,엔진 Low 아이들 RPM,uint16,rpm,0.0,5000.0,,,,UDS,,
Mch.Diag.EgStart.DtmnEgRpm,sensor,엔진시동상태 판단 엔진회전수,uint16,rpm,0.0,5000.0,,,,UDS,,
Mch.Diag.EgStart.DtmnAltVlt,sensor,엔진시동상태 판단 알터네이터 전압,uint16,V,0.0,1000.0,,,,UDS,,
Mch.Diag.EgAutoStop.AlmDur,sensor,엔진 자동셧다운 시에 알람유지시간,uint16,sec,0.0,1000.0,,,,UDS,,
Mch.Diag.EgAutoStop.BzDur,sensor,엔진 자동셧다운 시에 부저유지시간,uint16,sec,0.0,1000.0,,,,UDS,,
Mch.Diag.EgAutoStop.EntryCoolTmp,sensor,엔진 자동셧다운 진입 냉각수온도,int16,celsius,0.0,1000.0,,,,UDS,,
